일자,지점명,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 전운량(1/10),발전량
2021-11-01,보성군,10.4,21.6,,3.6,3.5,395.7
2021-11-02,보성군,8.9,18.9,,4,2.4,408.8
2021-11-03,보성군,7.3,19.4,,4.4,2.6,417
2021-11-04,보성군,6.4,21.4,,3,2.5,406.1
2021-11-05,보성군,6.2,19.8,,1.7,7,254
2021-11-06,보성군,9.3,21.2,,3,2.4,421.7
2021-11-07,보성군,6.5,22.1,,4,5.9,401.5
2021-11-08,보성군,7.9,17.1,19.4,5.3,7,94.8
2021-11-09,보성군,5.9,12.3,0.1,3.9,6.1,205.3
2021-11-10,보성군,5.2,12.6,0,3.6,5,235.8
2021-11-11,보성군,6,14.2,2.2,3.5,6.1,269.7
2021-11-12,보성군,3.3,12,0.6,2.8,3.1,247.2
2021-11-13,보성군,1.6,16.4,,2.2,4.9,341.1
2021-11-14,보성군,2.7,18.8,,2.1,2.6,331.7
2021-11-15,보성군,4.3,18.4,,2.6,3.6,387.3
2021-11-16,보성군,7,18,,2.9,4.3,292.2
2021-11-17,보성군,1.8,17.3,,3.3,2.6,415
2021-11-18,보성군,3,18.1,,2.4,0.5,386.7
2021-11-19,보성군,2.2,19.7,,2.4,3.9,411.9
2021-11-20,보성군,3.6,19.8,,2.1,3.8,370.2
2021-11-21,보성군,5.6,17.6,,1,8.8,138.5
2021-11-22,보성군,3.1,14,0,7.3,5.6,236.8
2021-11-23,보성군,3.3,8.9,0.1,4.1,6.1,159
2021-11-24,보성군,3.3,13.7,0,2.5,3.8,162.3
2021-11-25,보성군,0.5,16.6,,2.9,1.4,314.7
2021-11-26,보성군,2,14.2,,3.2,0,383.5
2021-11-27,보성군,0.6,12.6,,2.4,0,376.6
2021-11-28,보성군,-1.4,14.8,,1.6,2.1,365.5
2021-11-29,보성군,-0.8,16.6,,1.5,2.4,341.6
2021-11-30,보성군,4.3,13.9,15.3,4.4,7.9,47.7
2021-12-01,보성군,-0.1,7.4,,7.4,5.3,236.6
2021-12-02,보성군,-1.7,9.2,,2.8,4.3,270.6
2021-12-03,보성군,1,11.6,0,4.1,5.1,272.8
2021-12-04,보성군,-0.2,12.1,0,3.2,3.5,205.8
2021-12-05,보성군,-1.3,11.7,,1.7,4.1,283.5
2021-12-06,보성군,3.7,15.4,,2.2,4,327.1
2021-12-07,보성군,3.6,15.9,,3.8,0.5,348.3
2021-12-08,보성군,-0.3,13.8,,2.1,1.4,339.2
2021-12-09,보성군,-1.5,15,,1.8,6.3,161.6
2021-12-10,보성군,3.6,16.6,0,2.5,4.8,215.5
2021-12-11,보성군,4.8,14.8,,4.2,4.3,53.1
2021-12-12,보성군,2.7,13.4,,5.9,4.5,196.7
2021-12-13,보성군,-0.8,7.3,,5.1,0,384.8
2021-12-14,보성군,-2.3,10.4,,3.2,2.4,313.1
2021-12-15,보성군,-1.8,13.3,,1.6,4.9,203
2021-12-16,보성군,0.8,11.5,2.1,2.1,9,79.3
2021-12-17,보성군,-3.4,8.8,0,8,7.5,180.3
2021-12-18,보성군,-6.9,4,,3.5,4.6,375
2021-12-19,보성군,-2.6,8,0,3.7,3.6,288.6
2021-12-20,보성군,-3.6,13.4,,1.6,1.8,232.6
2021-12-21,보성군,-2.6,15.1,,2.5,0.4,287.6
2021-12-22,보성군,0.1,15.7,,4,0.1,359.4
2021-12-23,보성군,-3.8,14.3,,1.6,0,341.6
2021-12-24,보성군,-3.1,11.4,,3.8,5,150.4
2021-12-25,보성군,-5.3,1.5,,8.7,3.6,351.2
2021-12-26,보성군,-7.1,0.6,,4.7,0.1,395.3
2021-12-27,보성군,-8.8,4.5,,3.8,0.5,355.4
2021-12-28,보성군,-2.6,7.9,,2.5,5.1,223.6
2021-12-29,보성군,-1.4,10.9,,3.4,6.6,253.6
2021-12-30,보성군,0.8,5.2,0,8,3.9,314
2021-12-31,보성군,-3.3,3.7,0,5.9,3,388.6
2022-01-01,보성군,-3.7,6.6,,3.3,4.8,372.6
2022-01-02,보성군,-6.2,9.2,,3.7,2,274.3
2022-01-03,보성군,-3.2,8.4,,3.7,1.5,385.3
2022-01-04,보성군,-1.8,8.5,,4,2.3,337.3
2022-01-05,보성군,0.1,7,0.6,1.9,9.9,90.7
2022-01-06,보성군,-0.7,8.9,0,4.7,0.8,395.8
2022-01-07,보성군,-6.5,10.5,,3.4,0.1,383
2022-01-08,보성군,-4.7,9,,4.4,2,391.4
2022-01-09,보성군,-2.5,10.2,,3.1,5,253.8
2022-01-10,보성군,-4.6,10.4,,2.9,5.3,306.1
2022-01-11,보성군,-4.5,4.6,0,7,8.3,259.9
2022-01-12,보성군,-5.6,3.4,0,4.1,4.1,366.7
2022-01-13,보성군,-4.6,1.6,0,6,3.9,266.5
2022-01-14,보성군,-5.6,6.5,,3.3,3,411.1
2022-01-15,보성군,-4.3,10.5,,2.8,4.3,379
2022-01-16,보성군,-2.8,6.4,0,4.8,4.5,306.1
2022-01-17,보성군,-2.6,4.8,,5.4,7.3,263.8
2022-01-18,보성군,-4.8,5.7,,3.6,0.9,430.1
2022-01-19,보성군,-5.1,8.6,0,4.6,3,367.2
2022-01-20,보성군,-4.9,5.4,,3.6,0.4,413.6
2022-01-21,보성군,-7.4,8.4,,1.9,3.9,350.2
2022-01-22,보성군,-1.2,11.8,0,1.6,8,213.9
2022-01-23,보성군,2.5,12.3,,1.6,9,151.1
2022-01-24,보성군,-1.6,10.2,,3.2,6.4,229.7
2022-01-25,보성군,3.6,8.1,0,1.9,6,72.9
2022-01-26,보성군,0.7,9.7,,3.6,3.9,351.7
2022-01-27,보성군,0.6,9.7,,4.9,7.4,366.1
2022-01-28,보성군,-0.1,7.5,,5.3,5.8,421.6
2022-01-29,보성군,0,6.9,,5,7.6,317.8
2022-01-30,보성군,-1.5,8.1,,5.1,3.4,350.9
2022-01-31,보성군,-2.7,8.7,,4.1,1.5,436.8
2022-02-01,보성군,-1.9,6.7,0.1,4.7,4.9,250.3
2022-02-02,보성군,-0.8,6.7,,4,6,323.4
2022-02-03,보성군,-4.5,7.7,,4,3.6,444.4
2022-02-04,보성군,-3.7,6.1,0,5.5,3,415.5
2022-02-05,보성군,-2.8,2.2,0.1,6.1,5.6,368.7
2022-02-06,보성군,-5.6,5.8,0,4.6,5,341
2022-02-07,보성군,-1.6,4.5,,3.4,8.4,158.8
2022-02-08,보성군,-2.9,8.9,,3.4,3.4,440.2
2022-02-09,보성군,-6.8,10.3,,2.4,5.9,317.6
2022-02-10,보성군,3,10.7,,4.4,3.1,429.9
2022-02-11,보성군,-0.7,11.8,,2.9,3.3,434.6
2022-02-12,보성군,-0.7,13.6,,2.2,4.9,408.7
2022-02-13,보성군,2.8,13.4,,2.3,7.4,295.4
2022-02-14,보성군,-1.6,13.1,0,3.4,3.6,284.6
2022-02-15,보성군,-3.2,4.8,,7.8,4.6,413.8
2022-02-16,보성군,-3.7,2.1,0.1,6.7,6.6,370
2022-02-17,보성군,-6.9,2.9,,4.6,5,476.7
2022-02-18,보성군,-7.2,8.7,,2.3,5.4,466
2022-02-19,보성군,-0.1,8,0,4.9,9.1,233.6
2022-02-20,보성군,-3.2,3.3,0,7.1,4,559.2
2022-02-21,보성군,-7.4,8.4,0,4.5,2.3,485.8
2022-02-22,보성군,-2.8,5.7,,5,4.9,528.8
2022-02-23,보성군,-3.7,4.5,,4.6,5.3,477.3
2022-02-24,보성군,-6.8,7.2,,4.9,0.3,566.7
2022-02-25,보성군,-3.2,11.7,,4.3,0,529.2
2022-02-26,보성군,-6.3,13.8,0,3.5,2.3,489.9
2022-02-27,보성군,1.8,13.9,,5.2,0,573.5
2022-02-28,보성군,-5.8,14,,2,5.5,392.8
2022-03-01,보성군,3,15.3,4.1,4.5,6.6,287.4
2022-03-02,보성군,0.4,11.4,,5,0.3,593.6
2022-03-03,보성군,-2.2,14.5,,2.8,0.3,511.1
2022-03-04,보성군,-0.8,15.2,,2.1,4.9,382.3
2022-03-05,보성군,1.6,10.3,,7.3,0.9,591.5
2022-03-06,보성군,-0.9,11.5,,4.6,3,600.8
2022-03-07,보성군,0.2,12.8,,3.3,5.9,431.6
2022-03-08,보성군,-2.8,16.2,,3.2,1,547.8
2022-03-09,보성군,-2.2,18.3,,2,0,534.7
2022-03-10,보성군,-1.9,17.2,,1.2,6.8,408.1
2022-03-11,보성군,5.4,18.2,0,0.5,8.8,176.7
2022-03-12,보성군,10.3,22.2,,1.7,6.5,470
2022-03-13,보성군,11.1,16.8,19.4,1,9.3,35.4
2022-03-14,보성군,7.9,14.5,1.1,2,9.5,58
2022-03-15,보성군,4.2,17.1,,3.2,3.8,555.5
2022-03-16,보성군,1.8,21.8,,1.8,2.4,540.5
2022-03-17,보성군,8.3,15.4,9.5,3.6,10,125.8
2022-03-18,보성군,7.5,12.8,11.3,3.3,8.4,111.6
2022-03-19,보성군,2.7,8.4,8.1,3.8,9.1,210.3
2022-03-20,보성군,0.8,10.5,,3.4,8,300.3
2022-03-21,보성군,0.6,12.5,,1.9,8.4,349.2
2022-03-22,보성군,4.5,15.5,,2.7,7.8,486.7
2022-03-23,보성군,2.8,13.8,0,3.1,5,343.3
2022-03-24,보성군,0.3,16.5,,2.7,1.4,535.3
2022-03-25,보성군,3.3,17.1,37.4,4,8.5,110.9
2022-03-26,보성군,8.1,17.6,82.4,5,9,106.7
2022-03-27,보성군,5.8,19.2,,4.7,5.8,522.3
2022-03-28,보성군,2.4,14.2,,2.9,6.3,447.1
2022-03-29,보성군,1.6,17.1,,2.2,0,581.4
2022-03-30,보성군,4.1,20.6,,1.8,7.6,359.1
2022-03-31,보성군,8.3,17.9,,4.4,7.8,316.9
