,지역명,지역번호
17,대도동,2330872
18,대석동,3364821
19,대송면,2330879
20,대잠동,2330873
21,도량동,2042634
22,동부동,3364815
23,동부동,3430323
24,동부동,3430403
25,동천동,2330848
26,동촌동,2330875
27,득량동,3364385
28,모암동,2330831
29,문경시,223674
30,봉화군,223694
31,북구,2330416
32,상주시,223676
33,서상동,3365750
34,선산읍,223758
35,선주원남동,3430297
36,성내동,3364659
37,성주군,223756
38,송내동,3364286
39,송도동,2330876
40,송정동,2042627
41,송정동,3364285
42,시미동,3365015
43,신상리,3365784
44,신음동,2042522
45,신평동,2042727
46,안강읍,223683
47,안동시,223679
48,안흥동,3364820
49,압량면,2330752
50,양포동,3430294
51,연일읍,223775
52,영덕군,223692
53,영주동,2330795
54,영주시,223677
55,영천시,223675
56,예천군,223691
57,왜관리,3366771
58,왜관읍,223695
59,용강동,2330850
60,용덕리,3364325
61,용상동,2330817
62,용흥동,2330869
63,우창동,3430310
64,운흥동,3364816
65,울진군,223690
66,원리,3364316
67,원평동,2042732
68,의성군,223693
69,인덕동,3364289
70,인동동,3430304
71,인의동,223720
72,일월동,3364284
73,임수동,3365016
74,임은동,2330806
75,장흥동,3364288
76,죽도동,2330863
77,중리,3366787
78,중방동,2330745
79,중산동,2330744
80,지산동,2042642
81,진량읍,2330755
82,진평동,2330804
83,청도군,223699
84,청림동,1321410
85,청송군,223700
86,칠곡군,2330417
87,태화동,2330816
88,포항시,223682
89,하망동,2330796
90,하양읍,223776
91,해도동,2330871
92,형곡동,2042730
93,호동,3364290
94,황남동,2330844
95,황성동,2330849
96,황오동,2330845
97,효곡동,3430314
98,휴천동,2330793
99,흥해읍,223712
0,각화동,2331837
1,건국동,3430436
2,계림동,1907218
3,광산구,2330395
4,광산동,3354006
5,광주광역시,223627
6,광천동,2331870
7,구동,3354019
8,궁동,3354004
9,금남로1가,33540153
10,금남로2가,33540163
11,금남로3가,33540173
12,금남로4가,33540183
13,금남로5가,33540013
14,금동,3354007
15,금호2동,23318603
16,금호동,2331861
17,남구,2330396
18,내방동,1319131
19,농성동,2331872
20,누문동,2331846
21,대의동,1907139
22,대인동,3354000
23,대촌동,3354034
24,덕흥동,2331869
25,도산동,1316025
26,도천동,2331820
27,도호동,1906701
28,동구,2330394
29,동림동,2331840
30,동명동,1907220
31,동천동,2331859
32,두암2동,23318343
33,두암3동,23318333
34,두암동,2331835
35,마륵동,1906678
36,문흥동,1319218
37,방림동,2331858
38,백운동,1318568
39,봉선1동,34305243
40,봉선2동,23318493
41,봉선동,2331850
42,북구,2330393
43,북동,1907015
44,불로동,3354009
45,사동,2331856
46,산수동,2331880
47,산정동,3354038
48,삼각동,2331832
49,상무1동,23318683
50,서구,2330397
51,서동,3354020
52,서석동,2331877
53,소촌동,1317213
54,송정동,223623
55,송하동,1906987
56,수기동,3354003
57,수완동,2331817
58,신안동,1907011
59,신창동,1317400
60,신촌동,2331828
61,쌍암동,2331819
62,쌍촌동,1906979
63,양동,1906992
64,양림동,1907140
65,양산동,3354028
66,어룡동,3430510
67,오룡동,3354035
68,오선동,1318483
69,오치동,1318833
70,용봉동,2331844
71,우산동,2331839
72,우산동,1315768
73,운암동,2331843
74,월계동,1315649
75,월곡동,2331826
76,월산동,1907001
77,유동,1907012
78,일곡동,1320489
